participant_id,session,task_version,trial_type,t_onset_s,seed,run,trial,swap_count,position1,position2,position3,p_reward_pos1,p_reward_pos2,p_reward_pos3,choice,chosen_logo,rt_s,choice_late,outcome,points,optimal_position,is_optimal,optimal_points,regret,cumulative_score,anticip_ms,isi_ms,cf_outcome_pos1,cf_outcome_pos2,cf_outcome_pos3,cf_points_pos1,cf_points_pos2,cf_points_pos3,bonus_trial_index,position_in_bandit_stream,food_set,cue_type,food_bonus_cue,cue_image,cue_duration_ms,anticipatory_delay_ms,adaptive_window_ms,target_response_key,target_rt_ms,premature_rt_ms,target_hit,target_miss,target_too_fast,target_no_response,bonus_points_earned,bonus_cumulative,bonus_hit_rate,cue_onset_ms,delay_onset_ms,target_onset_ms,response_ms,feedback_onset_ms,trigger_code
1-900,001,v17.3,bandit,0.0002,4046538769,1,1,0,triangle,circle,heart,0.8,0.5,0.3,3,heart,0.6388,0,loss,-10,1,0,10,20,-10,427,565,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,21
1-900,001,v17.3,bandit,3.7126,4046538769,1,2,0,triangle,circle,heart,0.8,0.5,0.3,2,circle,0.3781,0,reward,10,1,0,-10,-20,0,629,608,loss,reward,loss,-10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,20
1-900,001,v17.3,bandit,7.6126,4046538769,1,3,0,triangle,circle,heart,0.8,0.5,0.3,1,triangle,0.358,0,reward,10,1,1,10,0,10,574,653,reward,reward,reward,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,20
1-900,001,v17.3,bandit,11.4793,4046538769,1,4,0,triangle,circle,heart,0.8,0.5,0.3,2,circle,0.3852,0,loss,-10,1,0,10,20,0,406,617,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,21
1-900,001,v17.3,bandit,14.9959,4046538769,1,5,0,triangle,circle,heart,0.8,0.5,0.3,1,triangle,0.2864,0,reward,10,1,1,10,0,10,780,467,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,20
1-900,001,v17.3,bandit,18.7959,4046538769,1,6,0,triangle,circle,heart,0.8,0.5,0.3,1,triangle,0.3244,0,reward,10,1,1,10,0,20,794,670,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,20
1-900,001,v17.3,bandit,22.8625,4046538769,1,7,0,triangle,circle,heart,0.8,0.5,0.3,1,triangle,0.2366,0,reward,10,1,1,10,0,30,623,585,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,20
1-900,001,v17.3,bandit,26.5625,4046538769,1,8,0,triangle,circle,heart,0.8,0.5,0.3,1,triangle,0.2155,0,reward,10,1,1,10,0,40,543,443,reward,loss,reward,10,-10,10,,,,,,,,,,,,,,,,,,,,,,,,,20
1-900,001,v17.3,bandit,30.0291,4046538769,1,9,0,triangle,circle,heart,0.8,0.5,0.3,1,triangle,0.3958,0,reward,10,1,1,10,0,50,514,603,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,20
1-900,001,v17.3,bonus_neutral,33.7958,4046538769,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,sweet,neutral,0,/Users/burgerks/Documents/GitHub/motivated_bandit/_task/stimuli/neutral/bandit_023.jpg,1500,1326,550,down,405,,1,0,0,0,15,15,1.0,1100,2633,3983,4388,4400,36
1-900,001,v17.3,bandit,38.8294,4046538769,1,10,0,triangle,circle,heart,0.8,0.5,0.3,1,triangle,1.0845,0,reward,10,1,1,10,0,60,750,692,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,20
1-900,001,v17.3,bandit,43.5956,4046538769,1,11,0,triangle,circle,heart,0.8,0.5,0.3,1,triangle,0.3678,0,reward,10,1,1,10,0,70,601,452,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,20
1-900,001,v17.3,bonus_food,47.4123,4046538769,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11,sweet,food_sweet,1,/Users/burgerks/Documents/GitHub/motivated_bandit/_task/stimuli/win/sweet/sweet_bandit_029.jpg,1500,1594,550,left,373,,1,0,0,0,15,30,1.0,1100,2633,4250,4623,4634,36
1-900,001,v17.3,bandit,52.6628,4046538769,1,12,0,triangle,circle,heart,0.8,0.5,0.3,1,triangle,0.8832,0,reward,10,1,1,10,0,80,602,550,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,20
1-900,001,v17.3,bandit,56.979,4046538769,1,13,0,triangle,circle,heart,0.8,0.5,0.3,1,triangle,0.4654,0,reward,10,1,1,10,0,90,583,412,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,20
1-900,001,v17.3,bandit,60.6956,4046538769,1,14,0,triangle,circle,heart,0.8,0.5,0.3,1,triangle,0.4168,0,loss,-10,1,1,-10,0,80,651,658,loss,reward,reward,-10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,21
1-900,001,v17.3,bonus_neutral,64.5123,4046538769,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,sweet,neutral,0,/Users/burgerks/Documents/GitHub/motivated_bandit/_task/stimuli/neutral/bandit_014.jpg,1500,1656,550,down,241,,1,0,0,0,15,45,1.0,1100,2617,4300,4541,4550,36
1-900,001,v17.3,bandit,69.6964,4046538769,1,15,0,triangle,circle,heart,0.8,0.5,0.3,2,circle,0.6672,0,reward,10,1,0,10,0,90,487,519,reward,reward,loss,10,10,-10,,,,,,,,,,,,,,,,,,,,,,,,,20
1-900,001,v17.3,bandit,73.6621,4046538769,1,16,0,triangle,circle,heart,0.8,0.5,0.3,1,triangle,0.3326,0,reward,10,1,1,10,0,100,779,512,reward,loss,loss,10,-10,-10,,,,,,,,,,,,,,,,,,,,,,,,,20
