source_file,output_index,output_file,original_width_px,original_height_px,crop_left_px,crop_top_px,crop_right_px,crop_bottom_px,output_width_px,output_height_px,dpi,output_format,pre_match_mean_luminance_0_255,pre_match_median_luminance_0_255,matching_metric_used,pre_match_luminance_used_for_matching_0_255,target_luminance_0_255,full_brightness_multiplier_not_used,unclamped_partial_multiplier,brightness_multiplier_applied,brightness_multiplier_was_clamped,correction_strength,min_brightness_multiplier,max_brightness_multiplier,contrast_multiplier,post_match_mean_luminance_0_255,post_match_median_luminance_0_255,target_Lstar_approx
a2.jpg,1,bandit_001.jpg,3000,2000,0,0,3000,2000,3000,2000,300,JPEG,90.189,94.186,median,94.186,97.132,1.031276,1.018766,1.018766,False,0.6,0.85,1.2,1.0,91.411,95.343,68.088
a3.jpg,2,bandit_002.jpg,3000,2000,0,0,3000,2000,3000,2000,300,JPEG,90.134,78.402,median,78.402,97.132,1.238903,1.143342,1.143342,False,0.6,0.85,1.2,1.0,102.306,89.152,68.088
AdobeStock_104124915.jpeg,3,bandit_003.jpg,3072,3607,0,779,3072,2827,3000,2000,300,JPEG,116.691,107.076,median,107.076,97.132,0.90713,0.944278,0.944278,False,0.6,0.85,1.2,1.0,109.68,100.816,68.088
AdobeStock_104811429.jpeg,4,bandit_004.jpg,3761,2492,11,0,3749,2492,3000,2000,300,JPEG,92.128,79.147,median,79.147,97.132,1.227241,1.136345,1.136345,False,0.6,0.85,1.2,1.0,103.806,89.584,68.088
AdobeStock_107199932.jpeg,5,bandit_005.jpg,4608,3072,0,0,4608,3072,3000,2000,300,JPEG,85.787,48.9,median,48.9,97.132,1.986331,1.591799,1.2,True,0.6,0.85,1.2,1.0,100.569,58.308,68.088
AdobeStock_1082794144.jpeg,6,bandit_006.jpg,6000,3999,1,0,5999,3999,3000,2000,300,JPEG,128.891,130.349,median,130.349,97.132,0.74517,0.847102,0.85,True,0.6,0.85,1.2,1.0,109.082,110.301,68.088
AdobeStock_108288828.jpeg,7,bandit_007.jpg,5243,3292,152,0,5090,3292,3000,2000,300,JPEG,49.753,32.799,median,32.799,97.132,2.96145,2.17687,1.2,True,0.6,0.85,1.2,1.0,58.709,38.854,68.088
AdobeStock_109812700.jpeg,8,bandit_008.jpg,6000,4000,0,0,6000,4000,3000,2000,300,JPEG,135.444,143.831,median,143.831,97.132,0.675318,0.805191,0.85,True,0.6,0.85,1.2,1.0,114.654,121.772,68.088
AdobeStock_111531063.jpeg,9,bandit_009.jpg,5616,3744,0,0,5616,3744,3000,2000,300,JPEG,113.815,107.522,median,107.522,97.132,0.903372,0.942023,0.942023,False,0.6,0.85,1.2,1.0,106.704,100.781,68.088
AdobeStock_112274430.jpeg,10,bandit_010.jpg,5760,3840,0,0,5760,3840,3000,2000,300,JPEG,145.224,146.738,median,146.738,97.132,0.661942,0.797165,0.85,True,0.6,0.85,1.2,1.0,122.964,124.336,68.088
AdobeStock_112274627.jpeg,11,bandit_011.jpg,5760,3840,0,0,5760,3840,3000,2000,300,JPEG,84.71,57.0,median,57.0,97.132,1.70407,1.422442,1.2,True,0.6,0.85,1.2,1.0,98.517,67.948,68.088
AdobeStock_113056030.jpeg,12,bandit_012.jpg,3369,3369,0,561,3369,2807,3000,2000,300,JPEG,97.283,87.732,median,87.732,97.132,1.107139,1.064284,1.064284,False,0.6,0.85,1.2,1.0,102.529,92.903,68.088
AdobeStock_113056681.jpeg,13,bandit_013.jpg,5439,3744,0,59,5439,3685,3000,2000,300,JPEG,104.615,91.506,median,91.506,97.132,1.061482,1.036889,1.036889,False,0.6,0.85,1.2,1.0,107.906,94.476,68.088
