layout,blocks,block_tr,reps,n_probes,presses,indep_obs,attenuation,se_phi,phi_min_at_100,n_req_at_ref,flag
spread x16,0,0,1,16,16,16,0.13,0.1457,0.313,436,
spread x25,0,0,1,25,25,25,0.294,0.172,0.164,120,
spread x35,0,0,1,35,35,30,0.425,0.209,0.138,84,
spread x48,0,0,1,48,48,1,0.43,0.206,0.134,80,
"3 blocks x 12tr, 1rep",3,12,1,12,12,3,0.931,0.5984,0.18,144,UNSTABLE
"3 blocks x 12tr, 2rep",3,12,2,12,24,3,0.799,0.6235,0.219,212,UNSTABLE
"3 blocks x 18tr, 1rep",3,18,1,18,18,3,0.708,0.4724,0.187,155,UNSTABLE
"3 blocks x 18tr, 2rep",3,18,2,18,36,3,0.925,0.4843,0.147,96,UNSTABLE
"3 blocks x 24tr, 1rep",3,24,1,24,24,3,0.435,0.3412,0.219,214,
"3 blocks x 24tr, 2rep",3,24,2,24,48,3,0.724,0.3858,0.149,99,UNSTABLE
"4 blocks x 12tr, 1rep",4,12,1,16,16,4,0.749,0.5126,0.192,163,UNSTABLE
"4 blocks x 12tr, 2rep",4,12,2,16,32,4,0.823,0.5344,0.182,147,UNSTABLE
"4 blocks x 18tr, 1rep",4,18,1,24,24,4,0.583,0.3975,0.191,162,
"4 blocks x 18tr, 2rep",4,18,2,24,48,4,0.668,0.3795,0.159,112,
"4 blocks x 24tr, 1rep",4,24,1,32,32,3,0.488,0.2866,0.165,120,
"4 blocks x 24tr, 2rep",4,24,2,32,64,3,0.666,0.3219,0.135,81,
"6 blocks x 12tr, 1rep",6,12,1,24,24,6,0.593,0.4044,0.191,162,
"6 blocks x 12tr, 2rep",6,12,2,24,48,6,0.801,0.3533,0.123,68,UNSTABLE
"6 blocks x 18tr, 1rep",6,18,1,34,34,5,0.473,0.2891,0.171,130,
"6 blocks x 18tr, 2rep",6,18,2,34,68,5,0.555,0.3331,0.168,125,
"6 blocks x 24tr, 1rep",6,24,1,48,48,3,0.55,0.2771,0.141,88,
"6 blocks x 24tr, 2rep",6,24,2,48,96,3,0.666,0.2782,0.117,61,
