scenario,dataset,recov_r_alpha_pos,est_gamma_alpha_pos,se_gamma_alpha_pos,ci_excludes0_alpha_pos,true_gamma_alpha_pos,ci_covers_true_alpha_pos,recov_r_alpha_neg,est_gamma_alpha_neg,se_gamma_alpha_neg,ci_excludes0_alpha_neg,true_gamma_alpha_neg,ci_covers_true_alpha_neg,recov_r_beta,est_gamma_beta,se_gamma_beta,ci_excludes0_beta,true_gamma_beta,ci_covers_true_beta,largest_gamma_param,target_is_largest
alpha_pos,0,0.8597593580319366,0.06647596248776702,0.08306844653641186,0,0.1,1,0.8458442415302181,-0.09229635081638328,0.07276316986461266,0,0.0,1,0.9182292713172305,-0.030198786785572033,0.05149952184080527,0,0.0,1,alpha_neg,0.0
alpha_pos,1,0.857996784859967,0.0890799525789905,0.06591161556714142,0,0.1,1,0.8327016079717413,-0.05405879163831775,0.04832111206999253,0,0.0,1,0.9195679301304565,0.05279025669640735,0.04487732932716263,0,0.0,1,alpha_pos,1.0
alpha_pos,2,0.7599923475169893,0.14637199289082403,0.06119340347804866,1,0.1,1,0.7534589761380239,0.05802007150829562,0.05155341056094993,0,0.0,1,0.9418313740628222,-0.03693111369793766,0.05713558219138403,0,0.0,1,alpha_pos,1.0
alpha_pos,3,0.7585873064126153,0.11763038852303087,0.06847342222062966,0,0.1,1,0.7723991920958375,-0.03965681731423553,0.05858231948625403,0,0.0,1,0.9215215551933337,-0.09827309094911324,0.05629067181406012,0,0.0,1,alpha_pos,1.0
alpha_pos,4,0.8016717163900284,0.11906358924726973,0.06125562315138434,0,0.1,1,0.7417338415412634,0.08032536162248186,0.054860957220592595,0,0.0,1,0.9545632124703459,-0.03569595990211597,0.062087201237904635,0,0.0,1,alpha_pos,1.0
alpha_pos,5,0.7464237229857381,-0.003055128951764639,0.05839697462053807,0,0.1,1,0.791846935568765,0.08074045000722534,0.06161704939568868,0,0.0,1,0.9479100141104315,0.05127056441869916,0.05038489747954781,0,0.0,1,alpha_neg,0.0
alpha_pos,6,0.7906326486866507,0.02671263857430726,0.0623865187727544,0,0.1,1,0.7094194323709012,-0.04089981589718775,0.061718573076140516,0,0.0,1,0.9375920199022252,-0.04579895771190793,0.05643672308565134,0,0.0,1,beta,0.0
alpha_pos,7,0.8662453299930313,0.12218226302777355,0.07188935787662395,0,0.1,1,0.7360231290133824,0.09288965003461556,0.0644387449531927,0,0.0,1,0.9420655176655625,-0.057524338861291366,0.05654190546188747,0,0.0,1,alpha_pos,1.0
alpha_pos,8,0.7861685477391749,0.17888898617731874,0.05030191695142225,1,0.1,1,0.8263516169438443,-0.014834965354210458,0.07474025272904405,0,0.0,1,0.8874707895524295,0.043379680894467566,0.04679204713748508,0,0.0,1,alpha_pos,1.0
alpha_pos,9,0.8357025647383548,0.2680555637158566,0.06580967787924605,1,0.1,0,0.8230667503206168,0.0016709380781630614,0.07109189139262172,0,0.0,1,0.9538466659108253,0.017693792010062933,0.05103880012894366,0,0.0,1,alpha_pos,1.0
alpha_pos,10,0.782645732081825,0.2851954085704027,0.069007223665432,1,0.1,0,0.7128960170421555,-0.02897352980845917,0.04800235730913129,0,0.0,1,0.9420752656128528,-0.0213296087364949,0.050774025697036373,0,0.0,1,alpha_pos,1.0
alpha_pos,11,0.8939863598338093,0.23112724043583927,0.07210785946682603,1,0.1,1,0.8261900602742295,-0.07003557941804608,0.07167498604839023,0,0.0,1,0.9356293905414499,-0.004110477784805423,0.051134714359611345,0,0.0,1,alpha_pos,1.0
alpha_pos,12,0.8166261503247119,0.07195656755482181,0.06565190648959603,0,0.1,1,0.7902809853097322,-0.05770200141060524,0.0665812779551356,0,0.0,1,0.8898319616206428,-0.07951730183401819,0.040237086369362685,1,0.0,0,beta,0.0
alpha_pos,13,0.7754101279540557,0.03156645283573153,0.054100815906304264,0,0.1,1,0.7248322885808528,0.08940767414604624,0.06169404842622638,0,0.0,1,0.9440289260090344,-0.021690587387332382,0.049232702546208165,0,0.0,1,alpha_neg,0.0
