target,R,true_gamma,n_subjects,power,null_fpr
beta,0.3,0.1,75,0.2,0.05
beta,0.3,0.1,100,0.133,0.133
beta,0.3,0.1,150,0.267,0.133
beta,0.3,0.2,75,0.467,0.05
beta,0.3,0.2,100,0.583,0.1
beta,0.3,0.2,150,0.75,0.033
beta,0.3,0.35,75,0.95,0.083
beta,0.3,0.35,100,0.967,0.033
beta,0.3,0.35,150,1.0,0.1
beta,0.4,0.1,75,0.25,0.117
beta,0.4,0.1,100,0.367,0.083
beta,0.4,0.1,150,0.417,0.067
beta,0.4,0.2,75,0.65,0.033
beta,0.4,0.2,100,0.733,0.083
beta,0.4,0.2,150,0.867,0.067
beta,0.4,0.35,75,0.917,0.033
beta,0.4,0.35,100,0.967,0.05
beta,0.4,0.35,150,1.0,0.067
beta,0.5,0.1,75,0.45,0.067
beta,0.5,0.1,100,0.3,0.067
beta,0.5,0.1,150,0.433,0.1
beta,0.5,0.2,75,0.75,0.083
beta,0.5,0.2,100,0.8,0.083
beta,0.5,0.2,150,0.933,0.083
beta,0.5,0.35,75,0.967,0.133
beta,0.5,0.35,100,1.0,0.15
beta,0.5,0.35,150,1.0,0.033
