quantity,true,n_subjects,mean_est,sd_est,ci_lo,ci_hi,ci_halfwidth,meets_target
R,0.3,50,0.297,0.113,0.098,0.461,0.181,0
R,0.3,100,0.273,0.122,0.027,0.413,0.193,0
R,0.3,150,0.301,0.092,0.133,0.43,0.149,0
R,0.4,50,0.375,0.132,0.088,0.56,0.236,0
R,0.4,100,0.365,0.092,0.208,0.525,0.159,0
R,0.4,150,0.39,0.09,0.231,0.508,0.138,0
R,0.5,50,0.508,0.125,0.226,0.698,0.236,0
R,0.5,100,0.492,0.075,0.37,0.606,0.118,0
R,0.5,150,0.5,0.055,0.38,0.582,0.101,0
sigma_phi,0.15,50,0.154,0.056,0.049,0.268,0.11,0
sigma_phi,0.15,100,0.156,0.052,0.0,0.213,0.107,0
sigma_phi,0.15,150,0.172,0.034,0.094,0.225,0.065,0
