gamma,n,param,power
0.1,60,alpha_pos,0.16666666666666666
0.1,60,alpha_neg,0.4166666666666667
0.1,60,beta,0.08333333333333333
0.1,120,alpha_pos,0.8333333333333334
0.1,120,alpha_neg,0.6666666666666666
0.1,120,beta,0.6666666666666666
0.1,200,alpha_pos,0.75
0.1,200,alpha_neg,0.5
0.1,200,beta,0.8333333333333334
0.15,60,alpha_pos,0.6666666666666666
0.15,60,alpha_neg,0.5833333333333334
0.15,60,beta,0.5833333333333334
0.15,120,alpha_pos,0.9166666666666666
0.15,120,alpha_neg,0.75
0.15,120,beta,0.8333333333333334
0.15,200,alpha_pos,1.0
0.15,200,alpha_neg,0.8333333333333334
0.15,200,beta,1.0
0.2,60,alpha_pos,1.0
0.2,60,alpha_neg,0.75
0.2,60,beta,1.0
0.2,120,alpha_pos,1.0
0.2,120,alpha_neg,0.8333333333333334
0.2,120,beta,0.9166666666666666
0.2,200,alpha_pos,1.0
0.2,200,alpha_neg,1.0
0.2,200,beta,1.0
